Date,HV_BULL,HV_BEAR,LV_BEAR,LV_BULL
2009-01-30,0.0,1.0,0.0,0.0
2009-02-02,3.4934843573474533e-36,1.0,6.549742877062142e-54,2.5593846554072643e-163
2009-02-03,8.567079438653661e-36,1.0,1.421699960314849e-54,1.3894056076562668e-100
2009-02-04,1.3895423463139204e-35,1.0,1.3894904118854729e-52,2.4764877445032825e-97
2009-02-05,2.05679459662389e-33,1.0,1.6232466583110424e-52,5.804016803803061e-95
2009-02-06,8.74562973639692e-38,1.0,1.078352802901192e-57,1.649775067417211e-101
2009-02-09,4.868693444339465e-33,1.0,1.9461943454700895e-52,4.9031576796689455e-96
2009-02-10,4.718956363689018e-43,1.0,6.113154477980057e-53,9.25445892205352e-101
2009-02-11,2.698142167680401e-38,1.0,4.0400451412812844e-54,1.7396558027021737e-108
2009-02-12,3.775841638476064e-33,1.0,4.0669526261166277e-50,2.1816998635830355e-94
2009-02-13,1.249867270817065e-32,1.0,8.675118278504862e-48,3.784872688439034e-87
2009-02-17,4.9778157413672075e-46,1.0,9.861001189000191e-52,2.209606048583128e-99
2009-02-18,4.2749464436269093e-35,1.0,9.825117612067024e-43,2.4027112018449243e-89
2009-02-19,4.477870042586151e-30,1.0,6.684690650789727e-37,1.7821497368556032e-65
2009-02-20,1.4993480221959869e-28,1.0,1.7499668484778704e-31,1.9885414295281032e-57
2009-02-23,5.332098424894237e-41,1.0,2.121134256261205e-34,3.306597396978529e-67
2009-02-24,9.23567246357106e-26,1.0,2.8264564748951592e-42,3.5437371011537933e-79
2009-02-25,1.8709939825226134e-30,1.0,2.4230683566113728e-33,1.9955746250087354e-66
2009-02-26,5.685231159617715e-30,1.0,9.527845972829827e-35,2.738453241465445e-64
2009-02-27,7.256353445178665e-27,1.0,6.444710127472626e-32,4.641333204718047e-58
2009-03-02,1.5231468449790556e-48,1.0,1.108493950228476e-36,1.1523591774441633e-74
2009-03-03,1.807305999739221e-42,1.0,1.99524303459977e-42,1.1969804354549391e-91
2009-03-04,9.892323158358317e-28,1.0,1.0403681830449929e-41,4.565482059854856e-81
2009-03-05,7.037586301256827e-51,1.0,2.5631921492470295e-43,5.716604181396343e-88
2009-03-06,2.4424210565269156e-37,1.0,1.1317172009435288e-46,4.372250864742425e-102
2009-03-09,6.588220767506643e-36,1.0,3.5574903730130726e-42,1.6624553343639196e-79
2009-03-10,4.277948068180805e-39,1.0,9.22532902894414e-60,9.226578314190677e-107
2009-03-11,1.0222335557949325e-34,1.0,1.6833244115127662e-54,9.357655920182161e-102
2009-03-12,2.0387675867062656e-55,1.0,2.4089841015512773e-75,8.421976080363864e-132
2009-03-13,2.9523974789946166e-50,1.0,9.489747899072415e-72,2.927074911612083e-148
2009-03-16,1.5558900655552294e-45,1.0,8.810060705498374e-67,3.97265578760494e-138
2009-03-17,2.5954463506612582e-52,1.0,2.6477436112272665e-74,3.407215938607939e-143
2009-03-18,6.056044554670971e-59,1.0,4.143173307432186e-80,1.4493856882034174e-159
2009-03-19,4.107288698945428e-51,1.0,2.0596759925756373e-73,3.2401539258040454e-158
2009-03-20,1.0788660465940422e-52,1.0,1.0074484262563463e-71,4.125296630901547e-152
2009-03-23,9.94376419575609e-72,1.0,3.4096125859464184e-94,3.2070197270060307e-187
2009-03-24,4.799352299505898e-62,1.0,3.118481594458589e-84,3.56787164504525e-196
2009-03-25,2.4593555435064112e-61,1.0,1.1010788618627134e-85,2.4511661049494756e-186
2009-03-26,4.3705833057763985e-69,1.0,5.72596109629627e-93,1.263354742246612e-195
2009-03-27,6.612192500955898e-67,1.0,2.3361630564866752e-89,4.0958798880151414e-204
2009-03-30,2.132473588703637e-65,1.0,2.3284561058465972e-82,8.837230089408933e-191
2009-03-31,9.926666869321696e-60,1.0,2.195527519934321e-81,1.0353741129713665e-184
2009-04-01,2.804120053140295e-58,1.0,2.5307033495341177e-81,2.160668470377546e-177
2009-04-02,2.173325716075605e-55,1.0,6.518990952549145e-78,1.7309314270770596e-163
2009-04-03,4.1945449484309594e-54,1.0,1.688494982554436e-76,5.276209253155289e-159
2009-04-06,2.9492185307686237e-50,1.0,2.8793070664278213e-71,4.610976232563832e-152
2009-04-07,5.3870037351685634e-52,1.0,6.889611593174703e-67,2.973672329175731e-143
2009-04-08,2.760020232587637e-47,1.0,3.5349244594504814e-68,5.940189781034348e-144
2009-04-09,3.3386782646446996e-52,1.0,8.578832895372162e-74,2.4970107859850727e-143
2009-04-13,2.441079762876243e-48,1.0,3.5958113455842393e-70,1.4919189700934548e-144
2009-04-14,6.856120159582419e-50,1.0,1.870671683486641e-68,9.760048913289034e-143
2009-04-15,1.2718288332705143e-45,1.0,7.513036067695971e-67,1.9694962214680725e-138
2009-04-16,2.5979654445770396e-46,1.0,1.9980610293806837e-68,1.4412477233497625e-134
2009-04-17,1.004109942406712e-45,1.0,1.5855689733423184e-67,9.781386575345415e-134
2009-04-20,3.131888808274091e-57,1.0,2.518013240902581e-70,1.702210410166049e-146
2009-04-21,4.693135188172364e-40,1.0,9.101663593564478e-61,7.287040444481217e-133
2009-04-22,6.09448220062873e-36,1.0,3.1181407215502695e-55,3.4188418481827847e-105
2009-04-23,2.75020622303282e-36,1.0,4.446791736474926e-54,3.831679906352177e-100
2009-04-24,1.1049933102095251e-33,1.0,8.668775688286981e-54,1.8737634087523167e-96
2009-04-27,2.819581601308392e-32,1.0,4.168597113829349e-48,3.4923050392286558e-87
2009-04-28,8.256789274075019e-29,1.0,1.8152412071485398e-44,1.4686462062233565e-79
2009-04-29,1.6756429307406147e-32,1.0,5.87716255609854e-47,1.1978136783661179e-83
2009-04-30,4.627145260314739e-31,1.0,5.03008109406466e-48,1.72970694278268e-85
2009-05-01,2.1287183633179982e-27,1.0,4.183413827852559e-42,3.3515202808485205e-75
2009-05-04,1.1318928091467715e-32,1.0,1.8030755968024517e-45,4.030550747751103e-81
2009-05-05,2.7126005592084534e-29,1.0,2.8390975523569953e-46,3.8996023095298314e-81
2009-05-06,1.4728408902002092e-25,1.0,8.77281718402599e-39,5.734065904415166e-69
2009-05-07,1.0224443908082216e-28,1.0,1.9217563141199732e-34,7.418605461951717e-68
2009-05-08,2.8823333911347714e-24,1.0,1.88802112258979e-37,1.0139074521062331e-64
2009-05-11,2.2249004676811197e-25,1.0,3.711976304779009e-31,5.561722118314301e-61
2009-05-12,6.312455375529486e-25,1.0,7.160032857665538e-30,5.610591534456446e-58
2009-05-13,1.6911474749550624e-41,1.0,7.323007466178506e-36,7.174017421149345e-75
2009-05-14,4.9897028515670203e-29,1.0,2.4583315950962e-43,6.474666975688065e-84
2009-05-15,5.699058162725429e-30,1.0,8.569332110290357e-38,1.247755367139879e-71
2009-05-18,1.304775493383084e-22,1.0,1.2747539205104792e-36,2.9414725976264934e-62
2009-05-19,1.5167828318931362e-20,1.0,1.1837471490573327e-25,5.893657946227467e-49
2009-05-20,3.1286621255139476e-21,1.0,5.088098990959841e-23,4.1455107493832595e-47
2009-05-21,1.0230705406063598e-23,1.0,1.1971141775282464e-23,1.8616125784124154e-49
2009-05-22,6.800549060967785e-23,1.0,3.311673678660254e-25,1.0911187527354352e-49
2009-05-26,6.2635722807981875e-24,1.0,3.5991345354211373e-31,3.439348989513742e-57
2009-05-27,1.6424875648055383e-24,1.0,6.997135150751679e-30,1.6867974964062524e-58
2009-05-28,2.462496788760183e-21,1.0,3.656248999464942e-28,7.9387765530047285e-53
