Date,Close,VWAP,regime,vwap_signal,hmm_signal,equity
2007-01-03,,,,,,1.0
2007-01-04,,,,,,1.0
2007-01-05,,,,,,1.0
2007-01-08,,,,,,1.0
2007-01-09,,,,,,1.0
2007-01-10,,,,,,1.0
2007-01-11,,,,,,1.0
2007-01-12,,,,,,1.0
2007-01-16,,,,,,1.0
2007-01-17,,,,,,1.0
2007-01-18,,,,,,1.0
2007-01-19,,,,,,1.0
2007-01-22,,,,,,1.0
2007-01-23,,,,,,1.0
2007-01-24,,,,,,1.0
2007-01-25,,,,,,1.0
2007-01-26,,,,,,1.0
2007-01-29,,,,,,1.0
2007-01-30,,,,,,1.0
2007-01-31,,,,,,1.0
2007-02-01,32123.13381916293,30639.565203959904,HV_BULL,1.0,1.0,1.0
2007-02-02,32134.60129114921,30767.000813379196,HV_BULL,1.0,1.0,1.0002069848462118
2007-02-05,32407.760594650263,30940.64598008951,HV_BULL,1.0,1.0,1.0087092170930683
2007-02-06,32566.731239517,31084.92872642951,HV_BULL,1.0,1.0,1.0136572650847206
2007-02-07,32856.31237749845,31223.009434087067,HV_BULL,1.0,1.0,1.0226706358828994
2007-02-08,33211.37507720333,31391.108310983458,HV_BULL,1.0,1.0,1.0337221559900118
2007-02-09,33158.580862006944,31521.65104373,HV_BULL,1.0,1.0,1.0320789072588241
2007-02-12,33053.24626340985,31635.112241642037,HV_BULL,1.0,1.0,1.0288003104494776
2007-02-13,33348.69242032805,31751.173419678456,HV_BULL,1.0,1.0,1.0379962331596482
2007-02-14,34241.534002305,31932.963749215054,HV_BULL,1.0,1.0,1.0657864141724263
2007-02-15,34245.16393605427,32076.882454679137,HV_BULL,1.0,1.0,1.0658993978393978
2007-02-16,34015.923388711395,32243.43018013648,HV_BULL,1.0,1.0,1.0587641608222993
2007-02-20,34369.348321563164,32385.873660522317,HV_BULL,1.0,1.0,1.0697647045432046
2007-02-21,34677.01316853235,32579.801059215988,HV_BULL,1.0,1.0,1.0793409406427943
2007-02-22,34849.93317926646,32725.11862558582,HV_BULL,1.0,1.0,1.0847231702522084
2007-02-23,34693.53826229841,32924.42191208957,LV_BULL,1.0,1.0,1.0798552931956797
2007-02-26,34716.7990763712,33122.92083445973,LV_BULL,1.0,1.0,1.0805792987154001
2007-02-27,33467.68653936836,33285.73926778824,LV_BEAR,1.0,0.0,1.0416999899899073
2007-02-28,34054.60752935052,33434.504808398575,LV_BEAR,1.0,0.0,1.041543734991409
2007-03-01,33956.878792004725,33575.759221462744,LV_BEAR,1.0,0.0,1.041543734991409
2007-03-02,33276.7664861691,33641.474023638606,LV_BEAR,-1.0,-1.0,1.041543734991409
2007-03-05,32943.18002765841,33673.44140222445,LV_BEAR,-1.0,-1.0,1.0518285685534037
2007-03-06,33631.93132888853,33733.01322229864,LV_BEAR,-1.0,-1.0,1.0298377256944586
2007-03-07,33757.92160495292,33787.65998141217,LV_BEAR,-1.0,-1.0,1.025979798592594
2007-03-08,33824.367328996705,33831.77964119695,LV_BEAR,-1.0,-1.0,1.0239603623438358
2007-03-09,33833.840428750205,33874.382811321026,LV_BEAR,-1.0,-1.0,1.0236735845140612
2007-03-12,33799.135934997976,33902.98019684105,LV_BEAR,-1.0,-1.0,1.0247236005059763
2007-03-13,33155.68489852362,33904.40783477275,LV_BEAR,-1.0,-1.0,1.0442317756295467
2007-03-14,33053.515481448,33888.10230974657,LV_BEAR,-1.0,-1.0,1.0474495813281606
2007-03-15,33150.50655275308,33843.25218288644,LV_BEAR,-1.0,-1.0,1.0443759821798912
2007-03-16,32651.43730747819,33768.200579280994,LV_BEAR,-1.0,-1.0,1.0600986961716163
2007-03-19,33226.99546272866,33716.27015840593,LV_BEAR,-1.0,-1.0,1.0414119705550315
2007-03-20,33417.68848455377,33681.20331553706,LV_BEAR,-1.0,-1.0,1.0354352039872343
2007-03-21,34377.765063594634,33663.24071815091,LV_BEAR,1.0,0.0,1.0056875723124095
2007-03-22,33827.87954264295,33646.05083505458,LV_BEAR,1.0,0.0,1.0055367191765625
2007-03-23,33652.164464283574,33600.598562299,LV_BEAR,1.0,0.0,1.0055367191765625
2007-03-26,33853.2779291153,33552.358725017904,LV_BEAR,1.0,0.0,1.0055367191765625
2007-03-27,33734.5119761832,33538.098271261646,LV_BEAR,1.0,0.0,1.0055367191765625
2007-03-28,33452.473449654324,33515.36994493727,LV_BEAR,-1.0,-1.0,1.0055367191765625
2007-03-29,33620.47463720875,33479.84579944399,LV_BEAR,1.0,0.0,1.000335997120144
2007-03-30,33689.507159922825,33497.86168224127,HV_BULL,1.0,1.0,1.000185946720576
2007-04-02,33711.701350182906,33533.75866599292,HV_BULL,1.0,1.0,1.000694827761002
2007-04-03,33998.82767053798,33558.99947745148,HV_BULL,1.0,1.0,1.0092178572191939
2007-04-04,33761.29787233888,33559.979912025825,HV_BULL,1.0,1.0,1.0021670460474916
2007-04-05,33659.29878067617,33551.57606957528,HV_BULL,1.0,1.0,0.9991393150408914
2007-04-09,34114.31918218818,33551.62929017855,HV_BULL,1.0,1.0,1.0126460958938943
2007-04-10,34349.11925549871,33565.002702087884,HV_BULL,1.0,1.0,1.0196158781804379
2007-04-11,34157.51865862,33609.308165829796,HV_BULL,1.0,1.0,1.0139284249041765
