Date,LV_BULL,HV_BULL,HV_BEAR,LV_BEAR
2009-01-30,0.0,0.0,1.0,0.0
2009-02-02,1.288499714941141e-166,2.1225702832711478e-39,1.0,1.4361450986135335e-52
2009-02-03,1.8847297885449753e-92,9.97179108190712e-37,1.0,1.0975286438521791e-41
2009-02-04,9.833728816418477e-90,5.721673948861857e-37,1.0,3.7588941455669653e-38
2009-02-05,3.651120939277581e-95,2.331366222245539e-35,1.0,4.7422154708874856e-39
2009-02-06,1.3620631121003592e-100,3.445967171772985e-41,1.0,3.8312872675465974e-44
2009-02-09,6.681836767214761e-102,5.787433819723887e-38,1.0,1.57843916267136e-46
2009-02-10,9.978554718182273e-111,4.178923778900852e-49,1.0,4.659729325585045e-44
2009-02-11,5.947673966717785e-116,2.1114731980260873e-43,1.0,1.7928067724879434e-55
2009-02-12,7.830560411436555e-104,6.666185720850859e-40,1.0,4.2869265622434584e-47
2009-02-13,5.842733299537316e-110,5.798788891701662e-42,1.0,1.0602247133222934e-43
2009-02-17,3.0184329864448507e-126,2.351300271356117e-63,1.0,1.168358300088594e-53
2009-02-18,3.0086737523383318e-118,1.0817848822906677e-43,1.0,4.09086170627359e-54
2009-02-19,5.6976994186086935e-89,1.4070455017429792e-37,1.0,1.081163407821755e-43
2009-02-20,1.3347705814884334e-87,5.551289229151093e-40,1.0,1.4067875767284184e-37
2009-02-23,1.614267019509226e-104,2.601143628536385e-56,1.0,5.161524857405601e-42
2009-02-24,9.370331882193036e-112,4.746526996501974e-38,1.0,6.3649280687729636e-55
2009-02-25,6.652076389786286e-89,1.9435045283071256e-36,1.0,6.342344140542339e-40
2009-02-26,9.57009758612771e-83,6.152072347558559e-36,1.0,1.925018668980051e-36
2009-02-27,1.0859204232173095e-93,6.790923982915752e-43,1.0,6.11388412216747e-36
2009-03-02,2.336783638706842e-121,3.1905087376851286e-67,1.0,6.259626889634612e-50
2009-03-03,1.7503967743667963e-133,5.3255862581888516e-55,1.0,6.631522443017396e-56
2009-03-04,2.7464207435722062e-115,4.9698793023423415e-39,1.0,7.603465951885329e-54
2009-03-05,7.459851755944551e-115,4.1366916231433125e-57,1.0,2.9001654485924286e-46
2009-03-06,3.787930683363305e-118,7.945249283379472e-46,1.0,4.30779384373923e-56
2009-03-09,2.4697273018803227e-116,9.14139870198726e-43,1.0,4.4426457529750836e-46
2009-03-10,2.538840167028053e-135,2.7660850013312686e-50,1.0,7.902682738974825e-61
2009-03-11,3.787293537038846e-146,7.855747503905208e-45,1.0,3.8591992379435164e-63
2009-03-12,2.586679863418192e-160,1.0409936319904906e-59,1.0,9.03884184802457e-71
2009-03-13,8.352057572604766e-166,5.835586708959411e-55,1.0,1.6584777832693346e-74
2009-03-16,8.774940170520806e-158,7.788744034375731e-50,1.0,5.486737495567204e-70
2009-03-17,7.142400172164803e-159,7.177779764706882e-54,1.0,4.121747149841632e-71
2009-03-18,3.7552764612509884e-161,1.523920112877704e-57,1.0,2.8491111534792995e-76
2009-03-19,4.66729149531967e-153,5.121679144706379e-49,1.0,9.236280647298326e-69
2009-03-20,1.8518184688400646e-170,1.489148469552346e-52,1.0,1.2198977682175849e-64
2009-03-23,2.857735741342676e-196,1.1825969451272795e-71,1.0,6.359281365219371e-90
2009-03-24,1.5337293633761217e-197,1.0694544428005037e-57,1.0,9.54707813041169e-78
2009-03-25,4.662873871015091e-186,1.0530693479801654e-57,1.0,1.7921912268891606e-78
2009-03-26,1.5313701275283377e-182,1.0451153606662856e-59,1.0,1.7353632398572412e-80
2009-03-27,4.067433166306853e-174,5.752308749500329e-56,1.0,1.120217860322148e-74
2009-03-30,1.52880909178145e-168,3.195173517488078e-61,1.0,4.194792356847432e-71
2009-03-31,1.5516085328424922e-169,2.79379695480926e-54,1.0,1.9436892183809965e-70
2009-04-01,1.8230556614867463e-159,7.73998578952768e-52,1.0,1.4052502971444656e-71
2009-04-02,1.848591533343557e-148,1.1108476127797743e-49,1.0,1.8461007062280768e-69
2009-04-03,3.6164593321156713e-141,5.1713151027019944e-49,1.0,1.0237873838784062e-66
2009-04-06,3.9718156267123965e-129,5.321530755925429e-46,1.0,4.588051219276158e-62
2009-04-07,1.7043039754766567e-118,1.14509464181307e-44,1.0,9.89267023423346e-53
2009-04-08,2.1055814111292727e-122,6.507823421702569e-42,1.0,2.021629765339145e-52
2009-04-09,1.6921063867786276e-123,2.7752750734062278e-46,1.0,6.217523489501903e-56
2009-04-13,5.194044689007844e-122,2.1597697111898093e-43,1.0,2.677476748842254e-57
2009-04-14,1.31499662950025e-118,8.872384624310686e-44,1.0,2.9543501604319857e-52
2009-04-15,1.669938116078946e-116,2.1819878310978243e-41,1.0,3.944781203409518e-52
2009-04-16,3.097598434657105e-113,1.5273919382571883e-41,1.0,1.2147322966270138e-50
2009-04-17,7.386916893902653e-112,8.904316860404327e-41,1.0,8.195884324854741e-50
2009-04-20,3.4584277483392344e-110,6.88905156595732e-49,1.0,2.2343775504227095e-49
2009-04-21,4.944326960786934e-89,7.413634666174844e-29,1.0,7.883749083470411e-49
2009-04-22,2.183330764100716e-69,1.1176249299339543e-29,1.0,7.412683552379942e-29
2009-04-23,3.5751907747758975e-70,1.3679025595257419e-29,1.0,1.1164684662551448e-29
2009-04-24,2.1967420431782925e-66,8.769345684423677e-27,1.0,1.3466533683672064e-29
2009-04-27,1.410464492120114e-59,2.4836563523759612e-22,1.0,8.769117840235098e-27
2009-04-28,8.264955719716562e-54,1.7614488402445875e-22,1.0,2.4836563425498667e-22
